dataset,architecture,sparsity,metric_name,metric_value
cora,gat,0.1,accuracy,0.7919999957084656
cora,gat,0.2,accuracy,0.7919999957084656
cora,gat,0.3,accuracy,0.7940000295639038
cora,gat,0.4,accuracy,0.7950000166893005
cora,gat,0.5,accuracy,0.7950000166893005
cora,gat,0.6,accuracy,0.7889999747276306
cora,gat,0.7,accuracy,0.7879999876022339
cora,gat,0.8,accuracy,0.7760000228881836
cora,gat,0.9,accuracy,0.7390000224113464
cora,gcn,0.1,accuracy,0.7990000247955322
cora,gcn,0.2,accuracy,0.800000011920929
cora,gcn,0.3,accuracy,0.7990000247955322
cora,gcn,0.4,accuracy,0.7979999780654907
cora,gcn,0.5,accuracy,0.7929999828338623
cora,gcn,0.6,accuracy,0.765999972820282
cora,gcn,0.7,accuracy,0.753000020980835
cora,gcn,0.8,accuracy,0.6600000262260437
cora,gcn,0.9,accuracy,0.6029999852180481
wisconsin,gcn,0.1,macro_f1,0.26111702127659575
wisconsin,gcn,0.2,macro_f1,0.26111702127659575
wisconsin,gcn,0.3,macro_f1,0.26111702127659575
wisconsin,gcn,0.4,macro_f1,0.2703225806451613
wisconsin,gcn,0.5,macro_f1,0.26111702127659575
wisconsin,gcn,0.6,macro_f1,0.2726218708827405
wisconsin,gcn,0.7,macro_f1,0.25514950166112954
wisconsin,gcn,0.8,macro_f1,0.24987012987012988
wisconsin,gcn,0.9,macro_f1,0.14730006835269993
