dataset,architecture,sparsity,metric_name,metric_value
cora,gat,0.1,accuracy,0.7919999957084656
cora,gat,0.2,accuracy,0.7919999957084656
cora,gat,0.3,accuracy,0.7929999828338623
cora,gat,0.4,accuracy,0.7940000295639038
cora,gat,0.5,accuracy,0.7940000295639038
cora,gat,0.6,accuracy,0.7919999957084656
cora,gat,0.7,accuracy,0.7860000133514404
cora,gat,0.8,accuracy,0.7720000147819519
cora,gat,0.9,accuracy,0.7129999995231628
cora,gcn,0.1,accuracy,0.7990000247955322
cora,gcn,0.2,accuracy,0.800000011920929
cora,gcn,0.3,accuracy,0.8009999990463257
cora,gcn,0.4,accuracy,0.8009999990463257
cora,gcn,0.5,accuracy,0.8069999814033508
cora,gcn,0.6,accuracy,0.7879999876022339
cora,gcn,0.7,accuracy,0.7799999713897705
cora,gcn,0.8,accuracy,0.7749999761581421
cora,gcn,0.9,accuracy,0.6190000176429749
wisconsin,gcn,0.1,macro_f1,0.2703225806451613
wisconsin,gcn,0.2,macro_f1,0.2703225806451613
wisconsin,gcn,0.3,macro_f1,0.2703225806451613
wisconsin,gcn,0.4,macro_f1,0.2703225806451613
wisconsin,gcn,0.5,macro_f1,0.2703225806451613
wisconsin,gcn,0.6,macro_f1,0.2703225806451613
wisconsin,gcn,0.7,macro_f1,0.2605006587615283
wisconsin,gcn,0.8,macro_f1,0.25506493506493505
wisconsin,gcn,0.9,macro_f1,0.2211764705882353
